term,pre_mean,post_mean,delta,pct_change
出る,0.014357349756637385,0.008288290535743157,-0.006069059220894228,-42.3
初めて,0.004155334734374102,0.006114364304748896,0.0019590295703747944,47.1
効果,0.004968151536139524,0.008115131129513923,0.0031469795933743994,63.3
化粧,0.006107829564478012,0.004873008953073297,-0.0012348206114047144,-20.2
化粧水,0.009726593075198228,0.007084941469436728,-0.0026416516057615,-27.2
合う,0.003400826591424751,0.00471633439851537,0.0013155078070906188,38.7
嬉しい,0.00377238645867924,0.005227611554838963,0.001455225096159723,38.6
少し,0.008457917739157631,0.009472532023254335,0.0010146142840967032,12.0
当選 する,0.003879713351281293,0.00738983083391206,0.003510117482630767,90.5
愛用,0.004349750032561415,0.004156672447924545,-0.00019307758463687,-4.4
日焼け,0.0004794944938984169,0.006446874693758071,0.005967380199859654,1244.5
明るい,0.0005097353215201806,0.004003108517424568,0.003493373195904387,685.3
時間,0.0031942024562610517,0.004181916909271416,0.0009877144530103642,30.9
普段,0.004241221048452446,0.0050230726462742676,0.0007818515978218216,18.4
毛穴,0.0038922152581916296,0.008143505281511842,0.0042512900233202125,109.2
洗い上がり,0.007084020156382416,0.0050539847026070586,-0.002030035453775357,-28.7
洗顔,0.016883719203740478,0.009250108424359261,-0.0076336107793812166,-45.2
現品,0.0037002481873349194,0.004584409487556702,0.0008841613002217824,23.9
発色,0.004640917164983995,0.0074579240949631115,0.0028170069299791167,60.7
続ける,0.004588254710825413,0.004394803723523029,-0.00019345098730238434,-4.2
美容,0.005069197846046403,0.008059735617088832,0.0029905377710424284,59.0
落ちる,0.03708271730360969,0.007006365762106028,-0.03007635154150366,-81.1
試す,0.0066840175847644534,0.00604602619293517,-0.0006379913918292835,-9.5
買う,0.00865826248099416,0.008866064327532935,0.00020780184653877536,2.4
軽い,0.005006768570346907,0.004356747498554022,-0.0006500210717928848,-13.0
香り,0.003815885807150493,0.012023348793093653,0.00820746298594316,215.1
馴染む,0.0014011400806630213,0.006056103452801117,0.004654963372138096,332.2
高い,0.005694559878841835,0.006192826482402089,0.0004982666035602537,8.7
