release_id,company_id,issuer,issuer_group,role,origin,panel,published,month,category,category_group,ingredients,brand,tier,is_quasi_drug,is_renewal,is_edition,url
000000024.000031376,31376,アモーレパシフィックジャパン株式会社,アモーレパシフィックジャパン株式会社,brand_owner,KR,core,2019-06-19,2019-06,toner_lotion,skincare,,,mixed,0,0,0,https://prtimes.jp/main/html/rd/p/000000024.000031376.html
000000051.000019685,19685,株式会社 井田ラボラトリーズ,株式会社井田ラボラトリーズ,brand_owner,JP,core,2019-06-21,2019-06,eye_makeup,makeup,,CANMAKE,プチプラ,0,0,0,https://prtimes.jp/main/html/rd/p/000000051.000019685.html
000000001.000046376,46376,株式会社コーセー（戦略ブランド事業部）,株式会社コーセー,brand_owner,JP,core,2019-07-02,2019-07,fragrance,other,,ADDICTION,デパコス,0,0,0,https://prtimes.jp/main/html/rd/p/000000001.000046376.html
000000004.000042040,42040,株式会社セザンヌ化粧品,セザンヌ化粧品株式会社,brand_owner,JP,core,2019-07-10,2019-07,,none,,CEZANNE,プチプラ,0,0,0,https://prtimes.jp/main/html/rd/p/000000004.000042040.html
000000002.000046376,46376,株式会社コーセー（戦略ブランド事業部）,株式会社コーセー,brand_owner,JP,core,2019-07-12,2019-07,,none,,ADDICTION,デパコス,0,0,0,https://prtimes.jp/main/html/rd/p/000000002.000046376.html
000000338.000001572,1572,株式会社石澤研究所,株式会社石澤研究所,brand_owner,JP,core,2019-07-12,2019-07,cream,skincare,,,プチプラ,0,0,0,https://prtimes.jp/main/html/rd/p/000000338.000001572.html
000000051.000006944,6944,ニベア花王株式会社,ニベア花王株式会社,brand_owner,global,core,2019-07-18,2019-07,,none,,NIVEA,プチプラ/ミドル,0,0,0,https://prtimes.jp/main/html/rd/p/000000051.000006944.html
000000025.000031376,31376,アモーレパシフィックジャパン株式会社,アモーレパシフィックジャパン株式会社,brand_owner,KR,core,2019-07-22,2019-07,,none,,イニスフリー,プチプラ/ミドル,0,0,0,https://prtimes.jp/main/html/rd/p/000000025.000031376.html
000000052.000006944,6944,ニベア花王株式会社,ニベア花王株式会社,brand_owner,global,core,2019-07-25,2019-07,body,other,,,プチプラ/ミドル,0,0,0,https://prtimes.jp/main/html/rd/p/000000052.000006944.html
000000005.000042040,42040,株式会社セザンヌ化粧品,セザンヌ化粧品株式会社,brand_owner,JP,core,2019-08-01,2019-08,eye_makeup|lash_brow|base_makeup,makeup,,CEZANNE,プチプラ,0,0,0,https://prtimes.jp/main/html/rd/p/000000005.000042040.html
000000026.000031376,31376,アモーレパシフィックジャパン株式会社,アモーレパシフィックジャパン株式会社,brand_owner,KR,core,2019-08-05,2019-08,,none,ツボクサエキス,イニスフリー,プチプラ/ミドル,0,0,0,https://prtimes.jp/main/html/rd/p/000000026.000031376.html
000000006.000042040,42040,株式会社セザンヌ化粧品,セザンヌ化粧品株式会社,brand_owner,JP,core,2019-08-07,2019-08,eye_makeup,makeup,,CEZANNE,プチプラ,0,0,0,https://prtimes.jp/main/html/rd/p/000000006.000042040.html
000000053.000006944,6944,ニベア花王株式会社,ニベア花王株式会社,brand_owner,global,core,2019-08-29,2019-08,face_wash,skincare,,NIVEA,プチプラ/ミドル,0,0,0,https://prtimes.jp/main/html/rd/p/000000053.000006944.html
000000004.000046376,46376,株式会社コーセー（戦略ブランド事業部）,株式会社コーセー,brand_owner,JP,core,2019-09-04,2019-09,base_makeup,makeup,,ADDICTION,デパコス,0,0,0,https://prtimes.jp/main/html/rd/p/000000004.000046376.html
000000007.000042040,42040,株式会社セザンヌ化粧品,セザンヌ化粧品株式会社,brand_owner,JP,core,2019-09-05,2019-09,eye_makeup,makeup,,CEZANNE,プチプラ,0,0,0,https://prtimes.jp/main/html/rd/p/000000007.000042040.html
