channel_name,search_category,video_count,total_views,total_comments,tier_group
SAKI SAITO,口紅・リップ,1,136334,66,cosmetics
Tsumiki つみき,韓国コスメ,1,106452,54,korean
韓国オンニAちゃん (会社員J),韓国コスメ,1,105359,70,korean
唇モデルゆき,口紅・リップ,1,101632,57,cosmetics
韓国美容オタクのスイカ,韓国コスメ,1,86603,141,korean
さきめぐ Beauty Class【美容家・化粧品開発者】,韓国コスメ,1,64620,153,korean
KyoN 美肌研究家 | しゃべる真珠,化粧水,1,62981,200,skincare
One Eye Beauty,日焼け止め,1,62826,155,skincare
角由紀子のヤバイ美容〜不老美死を目指すオンナ〜,日焼け止め,1,23924,54,skincare
AliceintheRabbitHole,日焼け止め,1,15628,133,skincare
