review_id,umap_x,umap_y,review_year,tier,dominant_topic,topic_confidence,source_name,rating,tier_group
4189,2.3092,7.3448,2019,skincare,Skin T4,0.33121769150535074,cosme,4.33,skincare
7657,-1.4513,3.5003,2019,skincare,Skin T5,0.9328452902346731,cosme,1.0,skincare
12446,-0.8087,2.9165,2019,skincare,Skin T4,0.6015001748578239,cosme,5.0,skincare
12447,-2.2643,3.0444,2019,skincare,Skin T5,0.9381654840100601,cosme,3.0,skincare
14529,-4.9099,1.0791,2019,skincare,Skin T5,0.49895946972137073,cosme,5.0,skincare
14520,-4.9631,1.0629,2019,skincare,Skin T5,0.5260604193919677,cosme,3.67,skincare
14521,-4.966,1.1218,2019,skincare,Skin T1,0.8659077155924941,cosme,3.0,skincare
14522,-5.16,1.3094,2019,skincare,Skin T1,0.8395182197484744,cosme,2.33,skincare
14523,-1.1898,-0.8991,2019,skincare,Skin T5,0.3861552141107797,cosme,2.33,skincare
14524,-4.6578,0.717,2019,skincare,Skin T5,0.524471003914687,cosme,4.33,skincare
14525,-4.9157,1.0446,2019,skincare,Skin T1,0.6888412093673922,cosme,5.0,skincare
14526,-4.8347,1.0792,2019,skincare,Skin T1,0.9519918577843939,cosme,5.0,skincare
7972,2.207,-3.0424,2019,skincare,Skin T2,0.9460173234482061,cosme,3.67,skincare
7973,-1.0018,1.125,2019,skincare,Skin T2,0.7990705086275045,cosme,5.0,skincare
7974,-2.3511,1.8731,2019,skincare,Skin T3,0.7478088229629127,cosme,3.0,skincare
7976,-1.2128,3.6634,2019,skincare,Skin T2,0.7425991839975363,cosme,3.67,skincare
7977,0.4728,-2.4167,2019,skincare,Skin T2,0.9423840961856645,cosme,4.33,skincare
7978,2.3974,-3.5205,2019,skincare,Skin T2,0.9499996000532067,cosme,5.0,skincare
7979,-2.1019,-1.3195,2019,skincare,Skin T2,0.9196286005952576,cosme,3.67,skincare
7980,2.6772,-3.5396,2019,skincare,Skin T2,0.5201570935751406,cosme,5.0,skincare
4983,1.384,-0.7377,2019,skincare,Skin T3,0.6776694984614197,cosme,5.0,skincare
4984,-3.347,3.6549,2019,skincare,Skin T5,0.4671626309519991,cosme,3.67,skincare
4985,1.9067,-1.9402,2019,skincare,Skin T3,0.6710368157000487,cosme,1.67,skincare
4987,2.364,7.0528,2019,skincare,Skin T2,0.40889493916565334,cosme,3.67,skincare
4988,3.5326,7.7107,2019,skincare,Skin T3,0.3596875835166112,cosme,3.0,skincare
4989,2.2126,-2.2535,2019,skincare,Skin T3,0.6173841461091659,cosme,2.33,skincare
4990,1.5827,-2.3222,2019,skincare,Skin T3,0.5760835787874898,cosme,2.33,skincare
4992,1.9793,-1.9196,2019,skincare,Skin T3,0.5852887846290432,cosme,3.67,skincare
14511,-4.9938,1.1106,2019,skincare,Skin T1,0.8342582847221858,cosme,3.67,skincare
14514,-4.4761,0.4828,2019,skincare,Skin T3,0.7753271381884226,cosme,2.33,skincare
14516,-5.0315,1.0865,2019,skincare,Skin T1,0.5780603695423759,cosme,5.0,skincare
14517,-5.01,1.1065,2019,skincare,Skin T1,0.8054450493662578,cosme,4.33,skincare
14518,-5.0382,1.1503,2019,skincare,Skin T1,0.50682591716459,cosme,3.67,skincare
17317,-2.2142,-1.5519,2019,cosmetics,Cosm T4,0.46406629104844715,cosme,4.33,cosmetics
17318,-0.7509,-4.4254,2019,cosmetics,Cosm T4,0.9581252535117389,cosme,4.33,cosmetics
17319,3.5881,-1.0602,2019,cosmetics,Cosm T4,0.5016865010677604,cosme,4.33,cosmetics
17320,-2.6064,-2.7585,2019,cosmetics,Cosm T4,0.7976281511583477,cosme,4.33,cosmetics
17321,-2.2454,-2.424,2019,cosmetics,Cosm T1,0.6166516606724016,cosme,2.33,cosmetics
17322,-2.4632,-2.3983,2019,cosmetics,Cosm T4,0.8916098596532538,cosme,4.33,cosmetics
17323,3.5579,-1.3048,2019,cosmetics,Cosm T4,0.945379264402658,cosme,3.67,cosmetics
17324,-2.5839,-2.8408,2019,cosmetics,Cosm T4,0.6401281310607918,cosme,3.67,cosmetics
17431,3.3481,7.8085,2019,cosmetics,Cosm T2,0.607685564925891,cosme,3.67,cosmetics
21001,1.9695,0.6456,2019,cosmetics,Cosm T3,0.6344437041696173,cosme,3.0,cosmetics
21002,-5.2097,-1.0678,2019,cosmetics,Cosm T3,0.9357614742289726,cosme,3.67,cosmetics
481,-2.3797,-1.6017,2020,skincare,Skin T2,0.7902277032605196,cosme,4.33,skincare
483,-2.8186,-2.4828,2020,skincare,Skin T2,0.48016521631313236,cosme,3.0,skincare
484,-2.7976,-2.4877,2020,skincare,Skin T2,0.5137207221666279,cosme,5.0,skincare
486,-2.1542,-2.3299,2020,skincare,Skin T2,0.7567981595621674,cosme,4.33,skincare
488,-2.7384,-1.4589,2020,skincare,Skin T2,0.9421543797575129,cosme,3.67,skincare
489,-0.4333,-4.0064,2020,skincare,Skin T2,0.5553863400513425,cosme,3.67,skincare
4170,-1.1829,3.5157,2020,skincare,Skin T5,0.9195520741096318,cosme,2.33,skincare
4171,3.6031,1.3827,2020,skincare,Skin T1,0.48919683138562303,cosme,3.67,skincare
4172,-0.7865,4.5317,2020,skincare,Skin T5,0.6580034255777129,cosme,5.0,skincare
4174,-1.1542,1.0406,2020,skincare,Skin T5,0.46721621219003123,cosme,3.0,skincare
4176,1.9193,3.6051,2020,skincare,Skin T1,0.5847982720512406,cosme,1.0,skincare
4177,1.3075,0.2563,2020,skincare,Skin T5,0.5305626332152967,cosme,3.67,skincare
4178,-0.0913,2.2925,2020,skincare,Skin T1,0.799957382356051,cosme,3.67,skincare
4179,2.7082,6.5256,2020,skincare,Skin T4,0.7758608864151619,cosme,3.0,skincare
4525,-2.5278,-1.6614,2020,skincare,Skin T2,0.7756825974954934,cosme,5.0,skincare
4526,-2.2161,-2.0731,2020,skincare,Skin T2,0.5085430181039338,cosme,4.33,skincare
4974,2.9716,-1.4185,2020,skincare,Skin T3,0.7666559233715625,cosme,3.67,skincare
4975,1.4622,-2.1977,2020,skincare,Skin T3,0.9269659576054932,cosme,3.0,skincare
4976,1.5852,-2.7777,2020,skincare,Skin T2,0.6188477921248002,cosme,5.0,skincare
4977,3.6753,7.2835,2020,skincare,Skin T4,0.5045296401407914,cosme,4.33,skincare
4978,1.8975,-2.0804,2020,skincare,Skin T2,0.4524806902103785,cosme,3.67,skincare
4979,2.4549,6.8239,2020,skincare,Skin T4,0.33210832937342927,cosme,3.67,skincare
4980,3.0891,-1.3202,2020,skincare,Skin T2,0.4956714632748799,cosme,4.33,skincare
4982,1.9578,-1.9417,2020,skincare,Skin T4,0.5200119703272831,cosme,4.33,skincare
8709,0.3098,3.2459,2020,skincare,Skin T1,0.9369752981851246,cosme,3.67,skincare
8710,-1.0839,3.2772,2020,skincare,Skin T1,0.7064985375208956,cosme,4.33,skincare
8711,-0.0288,-4.1724,2020,skincare,Skin T1,0.5513448242592836,cosme,3.67,skincare
8712,0.1489,3.6182,2020,skincare,Skin T1,0.7675343444036843,cosme,3.67,skincare
8713,-0.9336,1.526,2020,skincare,Skin T3,0.4546894612056029,cosme,5.0,skincare
12444,-0.5762,4.4697,2020,skincare,Skin T5,0.6454154763370271,cosme,3.67,skincare
12445,-0.7137,4.3934,2020,skincare,Skin T5,0.7633143125815114,cosme,4.33,skincare
12965,0.5647,-0.8972,2020,skincare,Skin T3,0.4752929505378024,cosme,5.0,skincare
12966,0.5787,-1.1849,2020,skincare,Skin T3,0.9524880257546385,cosme,3.67,skincare
12967,-2.7765,2.2456,2020,skincare,Skin T5,0.5496375580131366,cosme,3.67,skincare
12968,-0.317,-3.7586,2020,skincare,Skin T3,0.9497514090957891,cosme,3.67,skincare
12970,-3.5845,0.3598,2020,skincare,Skin T1,0.4775933159638649,cosme,2.33,skincare
12971,3.7941,1.2801,2020,skincare,Skin T3,0.528170851417439,cosme,5.0,skincare
12972,0.6275,-1.1093,2020,skincare,Skin T3,0.5621587718014932,cosme,3.67,skincare
12973,0.4304,-1.0884,2020,skincare,Skin T3,0.7414810909059798,cosme,5.0,skincare
14917,-2.1702,-1.6148,2020,skincare,Skin T2,0.6855967681320669,cosme,3.67,skincare
15760,-2.1115,-2.8754,2020,skincare,Skin T2,0.5379057001845098,cosme,3.67,skincare
17429,3.4157,7.804,2020,cosmetics,Cosm T1,0.9484004787284817,cosme,3.67,cosmetics
17430,1.9375,7.5378,2020,cosmetics,Cosm T1,0.9236879188282406,cosme,3.67,cosmetics
20996,-5.4411,-0.9972,2020,cosmetics,Cosm T3,0.9497087583130023,cosme,3.67,cosmetics
20998,-5.1444,-0.7849,2020,cosmetics,Cosm T3,0.9370543427329324,cosme,1.67,cosmetics
21000,-5.4675,-1.0152,2020,cosmetics,Cosm T3,0.9457812927199715,cosme,4.33,cosmetics
7962,-0.2238,-4.0492,2020,skincare,Skin T3,0.4546705616393627,cosme,5.0,skincare
7963,0.0302,-3.7558,2020,skincare,Skin T3,0.8849407536960359,cosme,3.67,skincare
7964,3.5704,1.0669,2020,skincare,Skin T2,0.6505909397079174,cosme,5.0,skincare
7965,-1.2478,1.9082,2020,skincare,Skin T3,0.5439599046234633,cosme,5.0,skincare
7966,2.0906,-2.893,2020,skincare,Skin T2,0.6164282202657239,cosme,3.67,skincare
7967,2.4889,-3.4104,2020,skincare,Skin T2,0.7021663685217255,cosme,3.67,skincare
7968,2.5105,-3.4683,2020,skincare,Skin T2,0.9521014233653595,cosme,3.67,skincare
7969,3.064,-3.3559,2020,skincare,Skin T2,0.8730079392583869,cosme,5.0,skincare
7970,3.0035,-3.4068,2020,skincare,Skin T2,0.5314462267749382,cosme,3.67,skincare
7971,1.6121,-2.5765,2020,skincare,Skin T3,0.7698207929635186,cosme,1.67,skincare
17545,3.7683,1.2969,2020,cosmetics,Cosm T1,0.7729360528792785,cosme,2.33,cosmetics
17546,-0.7045,2.5019,2020,cosmetics,Cosm T1,0.7366986192357142,cosme,3.67,cosmetics
18106,-0.2177,-0.2907,2020,cosmetics,Cosm T3,0.5581937575011908,cosme,4.33,cosmetics
18107,-1.7174,1.3743,2020,cosmetics,Cosm T3,0.35897835677276246,cosme,4.33,cosmetics
20995,-5.4094,-0.9826,2020,cosmetics,Cosm T3,0.966720562208011,cosme,1.0,cosmetics
4963,1.8798,-2.298,2020,skincare,Skin T3,0.8817174861978373,cosme,4.33,skincare
4965,1.8622,-2.0311,2020,skincare,Skin T3,0.7846078948376924,cosme,4.33,skincare
4966,1.7329,-2.0926,2020,skincare,Skin T2,0.5221113810676782,cosme,3.67,skincare
4967,1.6557,-1.8029,2020,skincare,Skin T1,0.5099404447447199,cosme,3.0,skincare
4968,1.5365,-1.7907,2020,skincare,Skin T3,0.5999531582355335,cosme,4.33,skincare
4969,1.8429,-2.4252,2020,skincare,Skin T3,0.5116391325332822,cosme,2.33,skincare
4970,2.1766,-2.9866,2020,skincare,Skin T2,0.613125331117472,cosme,3.67,skincare
4971,3.5185,7.9787,2020,skincare,Skin T3,0.5540657798388373,cosme,3.0,skincare
4972,2.3087,-2.3176,2020,skincare,Skin T3,0.8903577560161051,cosme,3.67,skincare
12956,0.5468,-1.1806,2020,skincare,Skin T3,0.3637681602401695,cosme,3.67,skincare
12957,-2.3985,0.6205,2020,skincare,Skin T5,0.6392435970110938,cosme,3.67,skincare
12958,-0.2152,-0.2344,2020,skincare,Skin T3,0.5599759624462645,cosme,3.67,skincare
12960,4.0159,7.4875,2020,skincare,Skin T4,0.7377604042899373,cosme,3.67,skincare
12961,0.2354,-0.9147,2020,skincare,Skin T2,0.5545170340495712,cosme,3.67,skincare
12962,0.4165,-1.1195,2020,skincare,Skin T3,0.693639188843069,cosme,3.67,skincare
12963,-2.7632,0.7725,2020,skincare,Skin T5,0.49614777762591505,cosme,4.33,skincare
14500,-4.9938,1.0115,2020,skincare,Skin T1,0.9381992566464454,cosme,5.0,skincare
14502,2.5642,2.0203,2020,skincare,Skin T1,0.9197066833142917,cosme,4.33,skincare
14503,-4.9432,0.9881,2020,skincare,Skin T1,0.5962096704257234,cosme,3.0,skincare
14505,-4.8484,0.7703,2020,skincare,Skin T1,0.5972660223732505,cosme,5.0,skincare
14506,-2.8378,-1.1278,2020,skincare,Skin T1,0.6044702394554501,cosme,3.0,skincare
14508,-4.9751,1.079,2020,skincare,Skin T4,0.5970366677948368,cosme,2.33,skincare
14509,-3.367,3.2166,2020,skincare,Skin T1,0.839999496314729,cosme,3.67,skincare
17428,2.3192,-2.0946,2020,cosmetics,Cosm T4,0.8463186677773495,cosme,3.67,cosmetics
20993,-5.4744,-1.1457,2020,cosmetics,Cosm T3,0.9443199682194529,cosme,4.33,cosmetics
20994,-5.2271,-0.8604,2020,cosmetics,Cosm T3,0.9050746544536857,cosme,3.67,cosmetics
471,-2.9238,-2.4555,2020,skincare,Skin T2,0.7378051642770566,cosme,3.67,skincare
472,-0.2838,-4.0486,2020,skincare,Skin T2,0.9102317838654181,cosme,5.0,skincare
473,-0.8198,-2.1451,2020,skincare,Skin T2,0.5549052747494368,cosme,3.67,skincare
474,-0.917,-1.3222,2020,skincare,Skin T2,0.9596967456226783,cosme,4.33,skincare
475,-1.7101,-0.9244,2020,skincare,Skin T2,0.9381772366867935,cosme,3.67,skincare
476,-2.1092,-1.2788,2020,skincare,Skin T2,0.9494466379937647,cosme,1.67,skincare
478,-1.0996,-2.0703,2020,skincare,Skin T2,0.860299637472427,cosme,4.33,skincare
480,-1.9315,-1.704,2020,skincare,Skin T2,0.9464165201397206,cosme,4.33,skincare
4523,-2.2899,-1.7282,2020,skincare,Skin T2,0.9526173600028268,cosme,3.0,skincare
4524,3.991,1.0641,2020,skincare,Skin T2,0.8547462356752575,cosme,5.0,skincare
14915,3.5824,-1.1615,2020,skincare,Skin T2,0.578691916090545,cosme,3.67,skincare
14916,-2.2521,-2.4627,2020,skincare,Skin T2,0.6091542221319124,cosme,3.0,skincare
15759,3.4826,-0.4888,2020,skincare,Skin T2,0.43845441679484176,cosme,4.33,skincare
20990,-5.4324,-1.1894,2020,cosmetics,Cosm T3,0.9599013086510503,cosme,1.67,cosmetics
20991,-5.0404,-0.8702,2020,cosmetics,Cosm T3,0.7708794231321355,cosme,2.33,cosmetics
4953,1.8451,-1.9319,2020,skincare,Skin T5,0.5803600429752576,cosme,5.0,skincare
4954,1.7705,-2.0815,2020,skincare,Skin T3,0.530323621870165,cosme,3.67,skincare
4956,2.8123,8.0564,2020,skincare,Skin T3,0.5859903194839103,cosme,3.67,skincare
4959,1.8231,-2.0089,2020,skincare,Skin T3,0.5032139576409365,cosme,4.33,skincare
4960,1.7682,-2.3817,2020,skincare,Skin T3,0.6256891365368968,cosme,4.33,skincare
4962,1.9755,-2.1202,2020,skincare,Skin T3,0.9268954886117129,cosme,3.67,skincare
7953,-2.8592,-0.4848,2020,skincare,Skin T5,0.526272740015139,cosme,1.0,skincare
7954,1.5068,-2.5657,2020,skincare,Skin T2,0.5391904754822937,cosme,3.67,skincare
7955,2.3872,-3.4662,2020,skincare,Skin T2,0.7733831599625977,cosme,3.67,skincare
7957,3.123,-3.4739,2020,skincare,Skin T2,0.9090295903223071,cosme,3.67,skincare
7959,3.6704,-0.0785,2020,skincare,Skin T4,0.4655034620861654,cosme,5.0,skincare
7960,2.0313,-3.0238,2020,skincare,Skin T5,0.5366178983510959,cosme,3.67,skincare
7961,-2.253,-0.2881,2020,skincare,Skin T2,0.8718087730756198,cosme,5.0,skincare
9243,2.1757,3.4612,2020,skincare,Skin T5,0.7805704928842587,cosme,3.0,skincare
12944,0.4943,-1.1807,2020,skincare,Skin T3,0.7262163258729257,cosme,3.0,skincare
