week_start,term,interest
2021-05-01,ビタミンC 美容,37
2021-05-01,レチナール,8
2021-05-01,レチノール,18
2021-06-01,アゼライン酸,4
2021-06-01,エクソソーム,16
2021-06-01,グルタチオン,25
2021-06-01,セラミド,46
2021-06-01,トラネキサム酸,25
2021-06-01,ナイアシンアミド,29
2021-06-01,ヒアルロン酸,55
2021-06-01,ビタミンC 美容,41
2021-06-01,レチナール,8
2021-06-01,レチノール,18
2021-07-01,アゼライン酸,3
2021-07-01,エクソソーム,9
2021-07-01,グルタチオン,36
2021-07-01,セラミド,42
2021-07-01,トラネキサム酸,24
2021-07-01,ナイアシンアミド,29
2021-07-01,ヒアルロン酸,52
2021-07-01,ビタミンC 美容,33
2021-07-01,レチナール,5
2021-07-01,レチノール,16
2021-08-01,アゼライン酸,4
2021-08-01,エクソソーム,8
2021-08-01,グルタチオン,34
2021-08-01,セラミド,46
2021-08-01,トラネキサム酸,25
2021-08-01,ナイアシンアミド,27
2021-08-01,ヒアルロン酸,55
2021-08-01,ビタミンC 美容,37
2021-08-01,レチナール,6
2021-08-01,レチノール,18
2021-09-01,アゼライン酸,5
2021-09-01,エクソソーム,9
2021-09-01,グルタチオン,40
2021-09-01,セラミド,50
2021-09-01,トラネキサム酸,24
2021-09-01,ナイアシンアミド,40
2021-09-01,ヒアルロン酸,53
2021-09-01,ビタミンC 美容,36
2021-09-01,レチナール,9
2021-09-01,レチノール,23
2021-10-01,アゼライン酸,3
2021-10-01,エクソソーム,6
2021-10-01,グルタチオン,33
2021-10-01,セラミド,46
2021-10-01,トラネキサム酸,23
2021-10-01,ナイアシンアミド,36
2021-10-01,ヒアルロン酸,63
2021-10-01,ビタミンC 美容,31
2021-10-01,レチナール,8
2021-10-01,レチノール,22
2021-11-01,アゼライン酸,4
2021-11-01,エクソソーム,7
2021-11-01,グルタチオン,34
2021-11-01,セラミド,51
2021-11-01,トラネキサム酸,26
2021-11-01,ナイアシンアミド,42
2021-11-01,ヒアルロン酸,72
2021-11-01,ビタミンC 美容,36
2021-11-01,レチナール,9
2021-11-01,レチノール,27
2021-12-01,アゼライン酸,3
2021-12-01,エクソソーム,9
2021-12-01,グルタチオン,29
2021-12-01,セラミド,56
2021-12-01,トラネキサム酸,30
2021-12-01,ナイアシンアミド,48
2021-12-01,ヒアルロン酸,62
2021-12-01,ビタミンC 美容,33
2021-12-01,レチナール,10
2021-12-01,レチノール,26
2022-01-01,アゼライン酸,6
2022-01-01,エクソソーム,9
2022-01-01,グルタチオン,32
2022-01-01,セラミド,56
2022-01-01,トラネキサム酸,38
