rakuten_product_id,tier_override
collagen-behappy:10000084,skincare
copa:10000770,skincare
cosme-venus:10000903,skincare
cosme-venus:10001004,skincare
cosme-venus:10004083,skincare
cosme-venus:10008517,skincare
cosme-venus:10009668,skincare
cosmecomonline:10001435,skincare
cosmecube:10000548,skincare
cosmediva:10003278,skincare
cosmediva:10008324,skincare
cosmedo:10000007,skincare
cosmejitan-r:10000356,skincare
cosmejitan-r:10000360,skincare
cosmejitan-r:10000491,skincare
cosmejitan-r:10000493,skincare
cosmeland:10010918,skincare
cosmeland:10011157,skincare
cosmeland:10016201,skincare
cosmeland:10030459,skincare
cosmeland:10031479,skincare
cosmeland:10143889,skincare
cosmeplatinum:10000038,skincare
cosmeplatinum:10000103,skincare
cosmeplatinum:10000173,skincare
cosmeplatinum:10000180,skincare
cosmeplatinum:10000296,skincare
cosmeplatinum:10000300,skincare
cosmeplatinum:10000425,skincare
cosmest-1:10000542,skincare
cosmest-1:10000929,skincare
cosmetic:10000014,skincare
cosmetic:10000675,skincare
cosmezakka:10001718,skincare
cosrx-official:10000202,skincare
cosrx-official:10000250,skincare
craftpark:10003045,skincare
creidea-coms:10001779,skincare
creidea-coms:10001780,skincare
creidea-coms:10001783,skincare
cscjp:10000126,skincare
cscjp:10000342,skincare
cscjp:10000860,skincare
cube-up:10000208,skincare
curemart:10002525,skincare
d-ray:10000023,skincare
d-ray:10000027,skincare
daikisone:10000621,skincare
dalba:10000011,skincare
dalba:10000072,skincare
dalba:10000084,skincare
dalba:10000122,skincare
dalba:10000224,skincare
dalba:10000272,skincare
dalba:10000274,skincare
dalba:10000351,skincare
dalba:10000357,skincare
dalba:10000424,skincare
dalba:10000426,skincare
dalba:10000482,skincare
dayz7200:10041806,skincare
dayz7200:10042026,skincare
dayz7200:10042027,skincare
dear-lily:10000001,skincare
dear-lily:10000021,skincare
dear-lily:10000035,skincare
dear-lily:10000046,skincare
dear-lily:10000066,skincare
dear-lily:10000078,skincare
dear-lily:10000089,skincare
dear-lily:10000101,skincare
dear-lily:10000109,skincare
dear-lily:10000136,skincare
decencia:10000014,skincare
decencia:10000024,skincare
deconail-seisakujo:10002837,skincare
deconail-seisakujo:10002850,skincare
deepsweetlove:10000067,skincare
deepsweetlove:10000070,skincare
deepsweetlove:10000078,skincare
depachikab1:10001062,skincare
dhcshop:10000077,skincare
dhcshop:10002440,skincare
dime:10008038,skincare
dime:10008112,skincare
dime:10145115,skincare
dmastore:10000480,skincare
doctork-official:10000013,skincare
domecare:10000008,skincare
domecare:10000018,skincare
dr-recella:10000008,skincare
dr-recella:10000011,skincare
dr-recella:10000023,skincare
dralthea:10000013,skincare
dralthea:10000020,skincare
drci-labo:10000244,skincare
drci-labo:10000245,skincare
dream-t:10000143,skincare
dream-t:10000328,skincare
duffrane:10000000,skincare
duffrane:10000001,skincare
duffrane:10000006,skincare
duffrane:10000170,skincare
dupwebshop:10003095,skincare
e-sts:10004602,skincare
edoya13:10000132,skincare
eenail:10002559,skincare
embellir0430:10000259,skincare
embellir0430:10000262,skincare
ess-shop:10001746,skincare
este-beauty-h:10000005,skincare
esthe-time:10000029,skincare
etvos:10000446,skincare
etvos:10000818,skincare
evis-hair:10000142,skincare
exbeaute:10000552,skincare
excitech:10000115,skincare
f092100-ohtawara:10000574,skincare
fancl-shop:10000003,skincare
fancl-shop:10000030,skincare
fancl-shop:10000033,skincare
fancl-shop:10000036,skincare
fancl-shop:10000092,skincare
fancl-shop:10000107,skincare
fancl-shop:10000233,skincare
fancl-shop:10000248,skincare
fancl-shop:10004346,skincare
fancl-shop:10008839,skincare
fancl-shop:10008844,skincare
fancl-shop:10009026,skincare
fancl-shop:10009087,skincare
fancl-shop:10009093,skincare
fancl-shop:10009421,skincare
fancl-shop:10009493,skincare
fancl-shop:10009499,skincare
fancl-shop:10009501,skincare
fancl-shop:10009551,skincare
fancl-shop:10009747,skincare
fancl-shop:10009749,skincare
fancl-shop:10009801,skincare
fancl-shop:10009823,skincare
fancl-shop:10009845,skincare
fancl-shop:10009885,skincare
fancl-shop:10009896,skincare
fancl-shop:10009950,skincare
fancl-shop:10009982,skincare
fancl-shop:10010008,skincare
fancl-shop:10010055,skincare
fancl-shop:10010057,skincare
fancl-shop:10010086,skincare
favorina:10000856,skincare
femly:10000003,skincare
fineday:10000002,skincare
fineday:10000003,skincare
fineday:10000004,skincare
fineday:10000005,skincare
fineday:10000029,skincare
fiore-sports:10000239,skincare
fiorello:10000056,skincare
fiorello:10028917,skincare
fitone:10028331,skincare
florihana:10000347,skincare
florihana:10000348,skincare
foremost:10127028,skincare
formalklein:10001456,skincare
fromcocoro:10000347,skincare
fromnature:10000000,skincare
fromnature:10000008,skincare
fujifilm-h:10000131,skincare
fujifilm-h:10000135,skincare
fujifilm-h:10000160,skincare
fujifilm-h:10000162,skincare
fujifilm-h:10000171,skincare
fujifilm-h:10000271,skincare
fujifilm-h:10000272,skincare
fujifilm-h:10000279,skincare
fujifilm-h:10000295,skincare
fujifilm-h:10000296,skincare
fujifilm-h:10000302,skincare
fujifilm-h:10000329,skincare
fujifilm-h:10000333,skincare
fujifilm-h:10000335,skincare
fujifilm-h:10000336,skincare
fujifilm-h:10000365,skincare
fujifilm-h:10000388,skincare
fujifilm-h:10000441,skincare
funnyelves:10000026,skincare
g-and-a:10000018,skincare
g-and-a:10000264,skincare
g-nail:10017635,skincare
g-one:10000024,skincare
g-one:10000148,skincare
garden-beauty:10000263,skincare
garden-beauty:10000325,skincare
generic-cosmetics:10000001,skincare
geomart:10011383,skincare
geomart:10011384,skincare
geomart:10012692,skincare
gjapan-beauty:10000907,skincare
good-item:10001883,skincare
good-value-item:10001018,skincare
good-value-item:10003732,skincare
goodsmile:10000108,skincare
granbeautyon-line:10000005,skincare
granbeautyon-line:10000023,skincare
granbeautyon-line:10000024,skincare
granbeautyon-line:10000189,skincare
granbeautyon-line:10001078,skincare
greenpacks:10003387,skincare
h-maruhan:10001020,skincare
h2o-0902-shop:10000001,skincare
h2o-0902-shop:10000005,skincare
h2o-e:10000105,skincare
hadamaru-shop:10000021,skincare
hadamaru-shop:10000055,skincare
hair-kirakira:10016711,skincare
haneru-shop:10000067,skincare
haneru-shop:10000155,skincare
happylife-shop:10000043,skincare
happylife-shop:10001863,skincare
happylife-shop:10003918,skincare
happylife-shop:10003920,skincare
happylife-shop:10004038,skincare
haraya:10000063,skincare
harmony:10000898,skincare
harmony:10000899,skincare
harushop:10000041,skincare
harushop:10000184,skincare
helena:10000392,skincare
helena:10000393,skincare
high-touch:10000044,skincare
high-touch:10000218,skincare
hime-labo:10000000,skincare
hime-labo:10000001,skincare
hime-labo:10000006,skincare
hime-labo:10000007,skincare
hiragana1:10000046,skincare
hobbyone:10116241,skincare
hoshinoya-bodyscrub:10000000,skincare
hoshinoya-bodyscrub:10000001,skincare
hoshinoya-bodyscrub:10000007,skincare
houseofrose-shop:10000000,skincare
hugkumi:10000351,skincare
hugkumi:10000378,skincare
hugkumi:10000426,skincare
i-apros:10000107,skincare
i-apros:10000460,skincare
ibiki-kenkyujyo:10000575,skincare
ibiki-kenkyujyo:10000580,skincare
iclione:10000017,skincare
idealife:10000297,skincare
ideastore:10000002,skincare
ikum-shop:10000008,skincare
ikum-shop:10000016,skincare
ikum-shop:10000026,skincare
ikum-shop:10000071,skincare
ikum-shop:10000148,skincare
